name,latitude,longitude,ndvi
Banja / Banjë,40.96,20.068,-0.15806089341640472
Fangu,41.705833,19.770278,0.2999512255191803
Fierza,42.2514,20.0431,-0.09609968215227127
Bele 1/2,42.06903611,20.46006667,0.2445775866508484
Cernaleve 1/2,42.02941667,20.55555278,0.5699125528335571
Bishnica 1/2,39.9169,20.1374,0.5962120890617371
Bistrica 1,39.9116,20.1047,0.5327504277229309
Ftere 1,40.11119167,19.87758889,0.6205048561096191
ASHTA 2,42.01168611,19.55194167,-0.02769857831299305
Lura 1/3,41.81460833,20.21796944,0.4532284140586853
Lanabregas,41.3428,19.8964,0.4961836040019989
Lenie,40.76601389,20.39604444,0.6953281164169312
Holta,40.92728056,20.22091667,0.5584034323692322
Langarica 1/2/3,40.3098,20.47698056,0.4430921971797943
Peshqesh,41.705833,19.770278,0.2999512255191803
Moglicë,40.6939862,20.439501,0.06723540276288986
Koman,42.1033,19.8224,0.13305498659610748
Oresheke,42.02874167,20.53076389,0.5304102301597595
Prelle,41.69380833,20.0131694,0.6063319444656372
Qarrishta 1,41.21956111,20.30383333,0.48896151781082153
Rajan 1/2,40.26653611,20.52168611,0.20765234529972076
Sllabinje,40.96899722,20.51337222,0.5596671104431152
Shkalle,41.579025,20.12165833,0.39829787611961365
Shkopet,41.6796,19.8305,0.7636234760284424
Ulez,41.6796,19.8936,0.20167319476604462
Stravaj 2,41.0057,20.425,0.6345861554145813
Topojan 1/2,41.98756111,20.52793889,0.4970870018005371
Pobreg,42.085925,19.79325278,0.695953905582428
Vlushe,40.506225,20.310079,0.48254480957984924
Arzni,40.2968,44.5875,0.4626486301422119
Argel,40.3786,44.6069,0.406726211309433
Sevan,40.5522,44.9513,0.46277645230293274
Qanaqer HPP,40.2226,44.5134,0.5087882876396179
Harzdan,40.5078,44.7606,0.41533583402633667
Vau i Dijes,42.0137,19.6359,0.13230657577514648
Yerevan-1 HPP,40.191,44.484,0.3900645971298218
Yerevan-3 HPP,40.1642,44.5009,0.48213398456573486
Altenmarkt,47.71944444,14.67222222,0.29877257347106934
Spandaryan,39.6494,45.85,0.20976071059703827
Tatev,39.3956,46.2578,0.4240836501121521
Shamb,39.4743,46.1306,0.3248332142829895
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.08117129653692245
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,0.17871643602848053
Arnstein,47.0167,15.1667,0.7939701080322266
Abwinden-Asten,48.248,14.4305,0.09591897577047348
Aschach,48.3853,14.023,0.04841834679245949
Bärenwerk,47.2166667,12.8166667,0.6781951785087585
Braunau-Simbach,48.244,13.006,0.023765482008457184
Böckstein,47.79940564,13.04399014,0.04679281637072563
Bodendorf paal,47.107717,14.065156,0.4526539444923401
Bodendorf mur,47.107688,14.065071,0.4471549391746521
Bischofshofen,47.407,13.2205,0.20729561150074005
Dießbach,47.5166667,12.8333333,0.6615343689918518
Dionysen,47.41,15.214,0.6240813136100769
Brennerwerk-M1,47.126999,11.453,0.17552202939987183
Edling Edling-KW - Edling Hydroelectric Power Plant Austria,46.628959,14.701371,0.10830776393413544
Dorferbach-KW,47.02,12.362,0.5903437733650208
Ering-Frauenstein,48.29207045,13.1589383,0.5000336170196533
Bösdornau Boesdornau-KW - Boesdornau Hydroelectric Power Plant Austria,47.15192,11.833298,0.4864238202571869
Debant_1-M1,48.257999,16.389999,0.32785242795944214
Feistritz-Ludmannsdorf,46.5347,14.1712,0.09850233793258667
Ferlach Maria Rain,46.5462,14.2985,0.35964927077293396
Fisching,47.1743,14.723143,0.669303297996521
Friesach,47.186513,15.336014,0.17839370667934418
Funsingau,47.2354,12.0583,0.6353603005409241
Feldsee Kraftwerk Feldsee - Feldsee Pumped Storage Power Plant Austria,46.9985746,13.0418733,-0.19793185591697693
Feldkirchen,46.8638,13.3355,0.34126943349838257
Gamp,47.6833333,13.1,0.27377790212631226
Gabersdorf,46.7772,15.5842,0.5003397464752197
Gaming,48.1766,16.4813,-0.07247540354728699
"Garsten st, ulrich",48.018488,14.411714,0.11226462572813034
Gemeinschaftskraftwerk inn,47.062954,10.662868,0.6805016398429871
Gratkorn,47.1333,15.35,0.6448894739151001
Gerlos,47.2342,11.8997,0.46970078349113464
Gralla,46.828285,15.566222,0.2303854376077652
Gries,47.287673,12.885052,0.42039522528648376
Gmuend-Speicher,47.932999,13.797,0.45233458280563354
Großraming,47.892954,14.512341,0.11727531254291534
Greifenstein,48.3553,16.2424,0.3239821195602417
Graz puntigam,47.039749,15.442537,0.04243249073624611
Hierzman-Speicher,47.016998,15.125,0.7896549701690674
Gunggl,47.09048,11.792702,0.6410626769065857
Heinfels-M1,46.748001,12.434,0.6159256100654602
Hieflau,47.6,14.7333,0.8173651099205017
Gössendorf,46.997841,15.467519,0.13581734895706177
Hintermuhr,47.79940564,13.04399014,0.04679281637072563
Häusling Haeusling-KW - Haeusling Pumped Storage Power Plant Austria,47.146432,11.967219,0.6388978958129883
KW Amlach,46.8142,12.7618,0.5284785032272339
KW Kaunertal,47.0678,10.6652,0.3305598199367523
KW Jenbach,47.3932,11.7886,0.060446977615356445
KW Kühtai,47.2078,11.0057,0.3545472323894501
Imst,47.212246,10.721519,0.45172837376594543
Kalserbach-M1,46.923,12.601,0.5823291540145874
Jochenstein,48.5184,13.7076,0.1947648525238037
KW Silz,47.2696,10.9678,0.36173728108406067
Kaprun Oberstufe,47.1968,12.7192,0.10731472074985504
Kaprun Limberg II,47.1985,12.7223,0.7014985084533691
Kaprun main stage,47.2591,12.7389,0.6889128684997559
Kalsdorf,46.944097,15.50363,0.221785306930542
Kirchbichl-M1,47.515999,12.088,0.1656757891178131
Koralpe Koralpe Pumped Storage Power Plant Austria - Koralpe Pumped Storage Power Plant Austria,46.6407766,14.9488018,0.4740302860736847
Kopswerk II,46.975,10.043,0.5315930843353271
Kopswerk I - Kops I Hydroelectric Power Plant Austria,46.976121,10.05145,0.739587128162384
Klaus,47.8314,14.1572,0.5043272376060486
Kraftwerk Alberschwende,47.470464,9.862094,0.6628082990646362
Kellerberg,46.67,13.6886,0.7664992809295654
Kraftwerk Kamering,46.738998,13.594,0.6754042506217957
Kraftwerk Oschenik,46.987999,13.106,0.31761229038238525
Kraftwerk Wurten,46.987999,13.106,0.31761229038238525
Kraftwerk Zirknitz,47.009998,13.01,0.1360110342502594
Kraftwerk Schuett,46.570999,13.722,0.3605726659297943
Kraftwerk außerfragant Kraftwerk Ausserfragant,46.9380556,13.1097222,0.732736349105835
Kraftwerk Woella,46.875,13.138,0.19271069765090942
Kreuzbergmaut,47.4412,13.2108,0.21262450516223907
Landl,47.651131,14.750286,0.5281453728675842
Krippau,47.703511,14.689298,0.43270716071128845
Langkampfen-M1,47.560001,12.139,0.42995867133140564
Latschau Latschau Hydroelectric Power Plant Austria - Latschau Hydroelectric Power Plant Austria,47.0739,9.8749,0.13909465074539185
Lavamünd Lavamuend-KW - Lavamuend Hydroelectric Power Plant Austria,46.643429,14.937028,0.10779749602079391
Kreuzeck days storage,46.8727,13.3117,0.4606668949127197
Laufnitzdorf,47.3,15.3167,0.8282917737960815
Leoben,47.3833,15.1,0.4195297360420227
Lünerseewerk,47.074,9.874,0.21654897928237915
Lebring,46.8522,15.5383,0.6074444055557251
Malta main stage,47.0659,13.3539,0.5216576457023621
Malta Secondary school,47.0659,13.3539,0.5216576457023621
Losenstein,47.9243,14.4367,0.7082086205482483
Melk,48.2232,15.3042,0.31795158982276917
Malta unterstufe Malta-Unterstufe-KW - Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,46.8332,13.360071,0.638348400592804
Mandling,47.4,13.5667,0.8221728801727295
Mayrhofen,47.1581,11.8501,0.33100444078445435
Neuötting,48.2497963,12.69110217,0.0982489287853241
Mellach run power plant,46.910999,15.486,0.11226168274879456
Oberaudorf Ebbs,47.6413,12.1989,-0.06461486965417862
Mühlrading,48.131686,14.473996,0.18987075984477997
Nassfeld,47.05,13.05,0.6852542757987976
Niklai,46.8167,13.3167,0.693673312664032
Obervermuntwerk,46.9271,10.0539,0.4712235927581787
Obervermuntwerk II,46.936111,10.0625,0.6808494329452515
Nussdorf near Vienna,48.259257,16.369185,0.11461745202541351
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.1374819,12.3273397,-0.0858747661113739
Peggau,47.2,15.35,0.42844194173812866
Pernegg,47.3598,15.3424,0.4802147448062897
Obervogau,46.745776,15.571428,0.26812586188316345
Paternion,46.7209,13.6453,0.24072279036045074
Passau-Ingling,48.5536,13.4371,-0.1554466336965561
Ottensheim-Wilhering,48.3166,14.1512,0.15753979980945587
Pöls,47.217744,14.599075,0.5888853669166565
Rabenstein,47.251148,15.31034,0.34277525544166565
Pichlern,48.022415,14.322989,0.37840911746025085
Rellswerk,47.0531826,9.7529724,
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.9782553,10.0383768,0.6761834025382996
Rodundwerk I,47.085,9.8813,0.18231117725372314
Rodundwerk II,47.0847,9.8744,0.4378790855407715
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.89411184,13.34315198,0.58635014295578
Reißeck-Tagesspeicher-KW,46.87297136,13.31180113,0.5060204267501831
Remsach,47.1333333,13.1333333,0.6469897627830505
Rott,47.79940564,13.04399014,0.04679281637072563
Schwabeck,46.658,14.8726,0.1261785924434662
Rosegg-St. James,46.5696,14.0268,0.49824824929237366
Rosenau,47.992886,14.376871,0.2941860556602478
