name,latitude,longitude,mndwi
Kraftwerk Oschenik,46.987999,13.106,-0.3061734139919281
Kraftwerk Schuett,46.570999,13.722,-0.1870170384645462
Kraftwerk Woella,46.875,13.138,-0.2949638962745666
Kraftwerk Wurten,46.987999,13.106,-0.3061734139919281
Kraftwerk Zirknitz,47.009998,13.01,-0.0673697516322135
Kraftwerk außerfragant Kraftwerk Ausserfragant,46.9380556,13.1097222,-0.4799027740955353
Kreuzbergmaut,47.4412,13.2108,-0.0614817887544631
Kreuzeck days storage,46.8727,13.3117,-0.3385298252105713
Krippau,47.703511,14.689298,-0.1808652877807617
Landl,47.651131,14.750286,-0.3116994798183441
Langkampfen-M1,47.560001,12.139,0.0064069703221321
Latschau Latschau Hydroelectric Power Plant Austria - Latschau Hydroelectric Power Plant Austria,47.0739,9.8749,-0.1360428035259246
Laufnitzdorf,47.3,15.3167,-0.4921910166740417
Lavamünd Lavamuend-KW - Lavamuend Hydroelectric Power Plant Austria,46.643429,14.937028,0.2384636402130127
Lebring,46.8522,15.5383,-0.4797916114330292
Leoben,47.3833,15.1,-0.4083139300346374
Losenstein,47.9243,14.4367,-0.5080118179321289
Lünerseewerk,47.074,9.874,-0.1900104731321334
Malta Secondary school,47.0659,13.3539,-0.4163946211338043
Malta main stage,47.0659,13.3539,-0.4163946211338043
Malta unterstufe Malta-Unterstufe-KW - Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,46.8332,13.360071,-0.4440723061561584
Mandling,47.4,13.5667,-0.5477358102798462
Mayrhofen,47.1581,11.8501,-0.2644977867603302
Melk,48.2232,15.3042,0.0997001677751541
Mellach run power plant,46.910999,15.486,-0.0563712455332279
Mühlrading,48.131686,14.473996,-0.0131410155445337
Nassfeld,47.05,13.05,-0.4910551905632019
Neuötting,48.2497963,12.69110217,0.1824175715446472
Niklai,46.8167,13.3167,-0.4195539057254791
Nussdorf near Vienna,48.259257,16.369185,-0.0865555703639984
Oberaudorf Ebbs,47.6413,12.1989,0.2740119397640228
Obervermuntwerk,46.9271,10.0539,-0.3152534067630768
Obervermuntwerk II,46.936111,10.0625,-0.4894327223300934
Obervogau,46.745776,15.571428,-0.029202526435256
