name,latitude,longitude,ndbi
Latschau Latschau Hydroelectric Power Plant Austria - Latschau Hydroelectric Power Plant Austria,47.0739,9.8749,0.06832674
Laufnitzdorf,47.3,15.3167,-0.37939394
Lavamünd Lavamuend-KW - Lavamuend Hydroelectric Power Plant Austria,46.643429,14.937028,-0.007572346
Lebring,46.8522,15.5383,-0.14602256
Leoben,47.3833,15.1,-0.077656485
Losenstein,47.9243,14.4367,-0.2124439
Lünerseewerk,47.074,9.874,0.038427822
Malta Secondary school,47.0659,13.3539,-0.116420776
Malta main stage,47.0659,13.3539,-0.116420776
Malta unterstufe Malta-Unterstufe-KW - Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,46.8332,13.360071,-0.21589121
Mandling,47.4,13.5667,-0.3173574
Mayrhofen,47.1581,11.8501,0.0031371766
Melk,48.2232,15.3042,-0.059082396
Mellach run power plant,46.910999,15.486,-0.020869693
Mühlrading,48.131686,14.473996,0.043146785
Nassfeld,47.05,13.05,-0.21424916
Neuötting,48.2497963,12.69110217,-0.12753676
Niklai,46.8167,13.3167,-0.28879628
Nussdorf near Vienna,48.259257,16.369185,-0.030313745
Oberaudorf Ebbs,47.6413,12.1989,-0.05789856
Obervermuntwerk,46.9271,10.0539,-0.1250891
Obervermuntwerk II,46.936111,10.0625,-0.18549018
Obervogau,46.745776,15.571428,-0.13203906
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.1374819,12.3273397,-0.7996624
Ottensheim-Wilhering,48.3166,14.1512,-0.09578588
Passau-Ingling,48.5536,13.4371,-0.34576982
Paternion,46.7209,13.6453,-0.06732179
Peggau,47.2,15.35,-0.11917447
Pernegg,47.3598,15.3424,-0.14565057
Pichlern,48.022415,14.322989,-0.06825044
Pöls,47.217744,14.599075,-0.2256399
Rabenstein,47.251148,15.31034,-0.12149242
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.89411184,13.34315198,-0.14576563
Reißeck-Tagesspeicher-KW,46.87297136,13.31180113,-0.13355947
Rellswerk,47.0531826,9.7529724,0.4437411
Remsach,47.1333333,13.1333333,-0.24085937
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.9782553,10.0383768,-0.24576382
Rodundwerk I,47.085,9.8813,0.015210916
Rodundwerk II,47.0847,9.8744,-0.069422975
Rosegg-St. James,46.5696,14.0268,-0.16464533
Rosenau,47.992886,14.376871,0.033446793
Rott,47.79940564,13.04399014,0.11635412
Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria,47.086876,11.774061,-0.27818453
Salza,47.491345,13.956943,-0.30344984
Schonau,47.775426,14.650605,0.02991629
Schwabeck,46.658,14.8726,0.0006439453
Schwarzach,47.3152,13.1389,-0.08422411
Schwarzach-KW,46.929001,12.545,-0.24357876
Schärding neuhaus,48.4355526,13.44094485,-0.16178545
Sidan-KW,47.348999,11.885,-0.3410698
Soelk-KW,47.433998,13.949,-0.21174897
Spielfeld,46.716449,15.62127,-0.10290985
St. Georgen,47.104453,14.087593,-0.19953234
St. Johann,47.3386,13.1974,-0.12858227
St. Martin,46.987392,15.091178,-0.22380498
St. Pantaleon,48.224936,14.53116,-0.06292352
St. Veit,47.3214,13.1744,-0.13921289
Staning,48.098607,14.468763,0.044662755
Strubklamm,47.79940564,13.04399014,0.11635412
Ternberg,47.9333,14.35,-0.2989294
Triebenbach,47.5,14.4667,-0.2777978
Urreiting,47.3749,13.2101,-0.11264314
Vermuntwerk,46.9684,10.0599,-0.19787665
Vienna-Freudenau,48.1766,16.0,-0.24419068
Villach,46.6329,13.8294,-0.066266455
Wald,47.9044444,13.0263889,-0.18150353
Walgauwerk,47.192,9.6815,-0.1780354
Wallnerau Salzach stage,47.316,13.141,-0.13585864
Wallnerau underwater stage,47.31554,13.140946,-0.10459676
Wallsee-Mitterkirchen,48.1666,14.6953,-0.020939618
Weinzödl,47.108388,15.392094,-0.07109685
Werfen-Pfarrwerfen,47.4698,13.1945,-0.05252309
Weyer,47.84903023,14.63882788,0.009879158
Wiestal,47.79940564,13.04399014,0.11635412
Ybbs-Persenbeug,48.1892,15.0682,-0.06675982
Zederhaus,47.15,13.5,-0.37128112
Mingechevir,40.79,47.0287,0.062271345
Shamkir,40.9487,46.168,0.070634715
Varvara,40.6837,47.0926,0.16590916
Yenikend,40.9193,46.2829,0.08753634
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,-0.21942763
COO,50.3849,5.8618,-0.1510643
HEID-DE-GOREUX 1,50.426,5.7328,-0.19979258
HU AMPSIN-NEUVILLE,50.5335,5.2962,0.016940527
HU ANDENNE,50.4928,5.07,-0.03491717
HU GRAND-MALADES,50.4665,4.8992,0.055978563
HU IVOZ-RAMET,50.5922,5.4613,0.027626917
HU LIXHE,50.7517,5.6863,0.035277165
HU MONSIN,50.6517,5.6308,-0.05791877
PLATE TAILLE T,50.1884,4.3861,0.078998685
Bocac Hydroelectric Power Plant Bosnia and Herzegovina,44.5075,17.1618,0.1887854
Capljina Pumped Storage Power Plant Bosnia and Herzegovina,43.0133,17.8041,-0.009876519
Grabovica Hydroelectric Power Plant Bosnia and Herzegovina,43.5872,17.7189,0.16778407
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,43.6924,17.7325,0.33146027
Jajce I Hidroelektrana Bosnia and Herzegovina,44.3774,17.2816,-0.19750977
Jajce II Hidroelektrana Bosnia and Herzegovin,44.4279,17.2404,-0.19776212
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,44.5624,17.135,-0.10451343
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,43.3776,17.8449,0.21850927
Mostarsko Blato Hydroelectric Power Plant Bosnia and Herzegovina,43.2989,17.794,-0.076084465
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,43.3375,17.3261,-0.115888126
Rama Hydroelectric Power Plant Bosnia and Herzegovina,43.747,17.6758,-0.13001172
Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,43.4478,17.8369,0.20839158
Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,42.7338,18.4971,0.2411878
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,42.7066,18.3805,0.14553344
Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,43.7603,19.2891,0.31300402
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,-0.0051517882
Alexander Stambolyski Hydro Power Site,43.1213,25.171,0.12962568
Barzia HPP,43.19,23.167,-0.30917472
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,-0.19196019
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,-0.119335294
Devin Devin Hydroelectric Power Plant Bulgaria - Devin Hydroelectric Power Plant Bulgaria,41.72052,24.42502,-0.0019787475
HPP Tsankov kamak,41.83225,24.42183,0.04755804
IVAILOVGRAD,41.5839,26.1075,0.107990794
KARDZHALI,41.6334,25.3381,-0.03063454
Kalin + Kamenitsa + Pastra + Rila HPP,42.07,23.13,-0.2602321
Klisoura HPP,43.16859,23.15498,-0.078215376
Kokalyane HPP,42.58398,23.42819,-0.16574365
Koprinka HPP (Kaplan),42.6125,25.3198,0.08627495
Krichim + Vacha I + Vacha II Hydro Power Plant,42.02719,24.47085,-0.09549737
Lilyanovo,41.62674,23.33449,-0.2121552
MOMINA KLISU,42.232,23.9494,-0.08347269
Orphey Orfeus bulgeria HPP_ORFEUS_PUMP - Orfeus Pumped Storage Hydroelectric Power Plant Bulgeria,41.94027778,24.44666667,0.24601695
PESHTERA,42.0132,24.2574,-0.11635823
PSBELMEKEN,42.1996,23.8586,-0.026339997
PSCHAIRA GEN,42.1603,23.8612,-0.22849467
Pasarel Hydro Power Station,42.5441,23.4861,-0.1760491
Petrohan HPP,43.12,23.12,-0.22162382
Pirin HPP,41.5745,23.5626,-0.26280746
Popina Laka,41.65627,23.3754,-0.2512166
SESTRIMO,42.2083,23.9158,-0.05511732
Sandanski I,41.58536,23.2905,-0.1924411
Spanchevo HPP,41.56265,23.56559,-0.2023028
Stara Zagora HPP,42.4452,25.6364,-0.09464597
Studen kladenets Studen Kladenets Hydroelectric Power Plant Bulgaria - Studen Kladenets Hydroelectric Power Plant Bulgaria,41.61227,25.64052,0.11685129
Teshel Teshel Hydroelectric Power Plant Bulgaria - Teshel Hydroelectric Power Plant Bulgaria,41.6428,24.153,0.21901155
