name,latitude,longitude,slope_degrees
Kirchbichl-M1,47.515999,12.088,3.792041063308716
Klaus,47.8314,14.1572,12.276001930236816
Kopswerk I - Kops I Hydroelectric Power Plant Austria,46.976121,10.05145,23.391584396362305
Kopswerk II,46.975,10.043,17.67131233215332
Koralpe Koralpe Pumped Storage Power Plant Austria - Koralpe Pumped Storage Power Plant Austria,46.6407766,14.9488018,6.490983963012695
Kraftwerk Alberschwende,47.470464,9.862094,13.075026512145996
Kraftwerk Kamering,46.738998,13.594,6.22207498550415
Kraftwerk Oschenik,46.987999,13.106,25.49658393859864
Kraftwerk Schuett,46.570999,13.722,4.456806182861328
Kraftwerk Woella,46.875,13.138,21.311662673950195
Kraftwerk Wurten,46.987999,13.106,25.49658393859864
Kraftwerk Zirknitz,47.009998,13.01,17.398601531982422
Kraftwerk außerfragant Kraftwerk Ausserfragant,46.9380556,13.1097222,13.675649642944336
Kreuzbergmaut,47.4412,13.2108,7.368647575378418
Kreuzeck days storage,46.8727,13.3117,6.147454738616943
Krippau,47.703511,14.689298,13.408504486083984
Landl,47.651131,14.750286,9.357950210571287
Langkampfen-M1,47.560001,12.139,10.269889831542969
Latschau Latschau Hydroelectric Power Plant Austria - Latschau Hydroelectric Power Plant Austria,47.0739,9.8749,8.29063892364502
Laufnitzdorf,47.3,15.3167,16.099515914916992
Lavamünd Lavamuend-KW - Lavamuend Hydroelectric Power Plant Austria,46.643429,14.937028,7.058557987213135
Lebring,46.8522,15.5383,2.919541597366333
Leoben,47.3833,15.1,3.939719438552856
Losenstein,47.9243,14.4367,8.144271850585938
Lünerseewerk,47.074,9.874,8.237034797668457
Malta Secondary school,47.0659,13.3539,16.387638092041016
Malta main stage,47.0659,13.3539,16.387638092041016
Malta unterstufe Malta-Unterstufe-KW - Malta Unterstufe (Moellbruecke) Hydroelectric Power Plant Austria,46.8332,13.360071,11.058209419250488
Mandling,47.4,13.5667,12.577189445495604
Mayrhofen,47.1581,11.8501,10.112564086914062
