name,latitude,longitude,discharge
Neuötting,48.249796,12.691102,361.664
Niklai,46.8167,13.3167,0.859
Nussdorf near Vienna,48.259257,16.369185,1936.92
Oberaudorf Ebbs,47.6413,12.1989,1.308
Obervermuntwerk,46.9271,10.0539,1.847
Obervermuntwerk II,46.936111,10.0625,1.847
Obervogau,46.745776,15.571428,146.147
Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria,47.137482,12.32734,0.848
Ottensheim-Wilhering,48.3166,14.1512,1428.58
Passau-Ingling,48.5536,13.4371,655.081
Paternion,46.7209,13.6453,99.344
Peggau,47.2,15.35,112.384
Pernegg,47.3598,15.3424,106.969
Pichlern,48.022415,14.322989,24.836
Pöls,47.217744,14.599075,7.659
Rabenstein,47.251148,15.31034,110.455
Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria,46.894112,13.343152,0.457
Reißeck-Tagesspeicher-KW,46.872971,13.311801,25.33
Rellswerk,47.053183,9.752972,0.423
Remsach,47.133333,13.133333,4.473
Rifawerk Rifa Pumped Storage Power Plant Austria - Rifa Pumped Storage Power Plant Austria,46.978255,10.038377,3.356
Rodundwerk I,47.085,9.8813,14.943
Rodundwerk II,47.0847,9.8744,14.943
Rosegg-St. James,46.5696,14.0268,152.294
Rosenau,47.992886,14.376871,126.655
Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria,47.086876,11.774061,3.326
Salza,47.491345,13.956943,4.35
Schonau,47.775426,14.650605,108.185
Schwabeck,46.658,14.8726,206.814
Schwarzach,47.3152,13.1389,48.115
Schwarzach-KW,46.929001,12.545,4.106
Schärding neuhaus,48.435553,13.440945,629.155
Sidan-KW,47.348999,11.885,0.246
Soelk-KW,47.433998,13.949,6.593
Spielfeld,46.716449,15.62127,146.612
St. Georgen,47.104453,14.087593,30.066
St. Johann,47.3386,13.1974,55.182
St. Martin,46.987392,15.091178,2.728
St. Pantaleon,48.224936,14.53116,1720.695
St. Veit,47.3214,13.1744,49.228
Staning,48.098607,14.468763,157.29
Ternberg,47.9333,14.35,124.856
Triebenbach,47.5,14.4667,0.263
Urreiting,47.3749,13.2101,59.558
Vermuntwerk,46.9684,10.0599,3.106
Vienna-Freudenau,48.1766,16.0,0.478
Villach,46.6329,13.8294,106.772
Wald,47.904444,13.026389,0.439
Walgauwerk,47.192,9.6815,37.708
Wallnerau Salzach stage,47.316,13.141,48.115
Wallnerau underwater stage,47.31554,13.140946,48.115
Wallsee-Mitterkirchen,48.1666,14.6953,1731.59
Weinzödl,47.108388,15.392094,114.578
Werfen-Pfarrwerfen,47.4698,13.1945,68.314
Weyer,47.84903,14.638828,109.733
Ybbs-Persenbeug,48.1892,15.0682,1746.243
Zederhaus,47.15,13.5,2.273
Mingechevir,40.79,47.0287,473.357
Shamkir,40.9487,46.168,259.88
Varvara,40.6837,47.0926,478.354
Yenikend,40.9193,46.2829,262.907
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,1.995
COO,50.3849,5.8618,9.471
HEID-DE-GOREUX 1,50.426,5.7328,12.809
HU AMPSIN-NEUVILLE,50.5335,5.2962,193.128
HU ANDENNE,50.4928,5.07,185.945
HU GRAND-MALADES,50.4665,4.8992,184.279
HU IVOZ-RAMET,50.5922,5.4613,193.812
HU LIXHE,50.7517,5.6863,240.31
HU MONSIN,50.6517,5.6308,239.564
PLATE TAILLE T,50.1884,4.3861,0.112
Bocac Hydroelectric Power Plant Bosnia and Herzegovina,44.5075,17.1618,51.816
Capljina Pumped Storage Power Plant Bosnia and Herzegovina,43.0133,17.8041,1.044
Grabovica Hydroelectric Power Plant Bosnia and Herzegovina,43.5872,17.7189,78.528
Jablanica Hydroelectric Power Plant Bosnia and Herzegovina,43.6924,17.7325,70.906
Jajce I Hidroelektrana Bosnia and Herzegovina,44.3774,17.2816,43.639
Jajce II Hidroelektrana Bosnia and Herzegovin,44.4279,17.2404,43.639
Krupa Hydroelectric Power Plant Bosnia and Herzegovina,44.5624,17.135,52.824
Mostar Hydroelectric Power Plant Bosnia and Herzegovina,43.3776,17.8449,97.746
Mostarsko Blato Hydroelectric Power Plant Bosnia and Herzegovina,43.2989,17.794,0.489
Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina,43.3375,17.3261,18.421
Rama Hydroelectric Power Plant Bosnia and Herzegovina,43.747,17.6758,11.644
Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,43.4478,17.8369,90.948
Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,42.7338,18.4971,10.178
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,42.7066,18.3805,18.657
Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,43.7603,19.2891,288.248
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,0.256
Alexander Stambolyski Hydro Power Site,43.1213,25.171,9.142
Barzia HPP,43.19,23.167,0.341
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,0.056
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,0.778
Devin Devin Hydroelectric Power Plant Bulgaria - Devin Hydroelectric Power Plant Bulgaria,41.72052,24.42502,1.725
HPP Tsankov kamak,41.83225,24.42183,0.203
IVAILOVGRAD,41.5839,26.1075,34.938
KARDZHALI,41.6334,25.3381,10.923
Kalin + Kamenitsa + Pastra + Rila HPP,42.07,23.13,0.117
Klisoura HPP,43.16859,23.15498,0.204
Kokalyane HPP,42.58398,23.42819,10.648
Koprinka HPP (Kaplan),42.6125,25.3198,4.95
Krichim + Vacha I + Vacha II Hydro Power Plant,42.02719,24.47085,5.458
Lilyanovo,41.62674,23.33449,0.924
MOMINA KLISU,42.232,23.9494,5.414
Orphey Orfeus bulgeria HPP_ORFEUS_PUMP - Orfeus Pumped Storage Hydroelectric Power Plant Bulgeria,41.940278,24.446667,5.209
PESHTERA,42.0132,24.2574,0.376
PSBELMEKEN,42.1996,23.8586,0.31
PSCHAIRA GEN,42.1603,23.8612,0.212
Pasarel Hydro Power Station,42.5441,23.4861,9.631
Petrohan HPP,43.12,23.12,0.347
Pirin HPP,41.5745,23.5626,0.484
Popina Laka,41.65627,23.3754,0.503
SESTRIMO,42.2083,23.9158,0.743
Sandanski I,41.58536,23.2905,0.924
Spanchevo HPP,41.56265,23.56559,0.822
Stara Zagora HPP,42.4452,25.6364,0.318
Studen kladenets Studen Kladenets Hydroelectric Power Plant Bulgaria - Studen Kladenets Hydroelectric Power Plant Bulgaria,41.61227,25.64052,24.412
Teshel Teshel Hydroelectric Power Plant Bulgaria - Teshel Hydroelectric Power Plant Bulgaria,41.6428,24.153,1.299
Cakovec Hydroelectric Power Plant Croatia Croatia,46.3113,16.4945,0.586
Djale Hydroelectric Power Plant Croatia,43.5745,16.7115,22.058
Dubrava Hydroelectric Power Plant Croatia Croatia,46.3205,16.7489,264.07
Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,42.6037,18.2357,0.425
Fužine,45.304985,14.714837,1.203
Gojak Hydroelectric Power Plant Croatia Croatia,45.2989,15.2633,0.184
Golubic Hydroelectric Power Plant Croatia Croatia,44.09,16.2204,4.844
HE Rijeka,45.334999,14.452,3.888
Hidroelektrana Velebit / Velebit pump,44.200733,15.681117,12.995
Jaruga Hydroelectric Power Plant Croatia Croatia,43.805,15.9626,37.678
Kraljevac Hydroelectric Power Plant Croatia,43.4307,16.8849,0.263
Lesce Hydroelectric Power Plant Croatia Croatia,45.3485,15.3452,1.647
Maljacka Hydroelectric Power Plant Croatia Croatia,44.0019,16.0192,17.42
Orlovac Hydroelectric Power Plant Croatia,43.6737,16.784,0.424
Ozalj Hydroelectric Power Plant Croatia Croatia,45.6143,15.4778,40.29
Peruca Hydroelectric Power Plant Croatia,43.7951,16.5968,8.995
Senj - Senj Hydroelectric Power System Croatia Croatia,45.009998,14.893,0.116
Senj Hydroelectric Power System Croatia Croatia,44.9429,14.9276,0.201
Sklope Hydroelectric Power Plant Croatia Croatia,44.6895,15.2706,37.372
Varazdin Hydroelectric Power Plant Croatia Croatia,46.3479,16.2684,259.625
Vinodol Hydroelectric Power System Croatia Croatia,45.2286,14.6736,0.99
Zakucac Hydroelectric Power Plant Croatia,43.4581,16.7027,0.683
?t?chovice I,49.8465,14.4219,78.643
Dale?ice,49.1245,16.1242,5.118
Dlouhé Strán? I,50.0854,17.1794,0.397
Hnevkovice,49.180417,14.447083,26.427
Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic,49.633,14.2468,76.292
Lipno I,48.6333,14.2375,10.525
Nechranice,50.36625,13.412917,24.684
Orlík,49.6066,14.1816,76.033
Slapy,49.82354,14.434501,78.643
Slezska Harta,49.89125,17.579583,4.077
Strekov republic Strekov Hydroelectric Power Plant Czech Republic - Strekov Hydroelectric Power Plant Czech Republic,50.6386,14.0478,295.687
Vir I,49.56625,16.30875,2.827
Vrane republic Vrane Hydroelectric Power Plant Czech Republic - Vrane Hydroelectric Power Plant Czech Republic,49.9381,14.3749,101.017
Vranov,48.907917,15.817083,8.817
Ahvenkoski,60.5,26.5,5.871
Aittokoski,64.836458,28.85048,56.195
Alakoski,62.55,29.25,0.59
Anjalankoski,60.698333,26.816111,225.707
Atro,63.3725,27.988333,20.343
Finlayson ve,61.5025,23.759444,1.13
Haapakoski,65.3333,25.2833,196.587
Hamari,64.075556,24.579444,27.691
Hietamankoski,62.599444,25.575,12.01
Hilmonkoski,63.063333,25.337222,0.495
Hinkua,63.701944,25.352222,1.689
Hirvikoski,62.809444,23.035833,0.839
Imatra Imatra - Imatra Hydroelectric Power Plant Finland,61.166797,28.774695,608.204
Inkeroinen ve,60.710278,26.813611,225.707
Isohaara,65.797083,24.549583,575.45
Juankoski,63.0675,28.338611,21.54
Jumisko,66.3333,28.15,1.764
Juotas,63.5,22.5333,0.095
Jylhama,64.57875,26.76625,228.923
KAVO Koivukoski III,64.223333,27.784444,0.779
Kaaranneskoski,66.647,24.4266,1.271
Kaihua,66.35,26.85,316.07
Kaitfors,63.694,23.4009,30.485
Kaltimo,62.807917,30.179583,149.581
Karjalankoski,63.044722,28.304167,50.061
Katerman vesivoimalaitos,64.096111,28.973889,62.038
Kattilakoski,63.47,23.306389,16.094
Keltti hydropower plant,60.873611,26.614444,221.605
Kelukoski,67.455556,26.598333,26.136
Kierikki,65.359444,25.91,114.618
Killinkoski,62.4,23.8667,9.669
Kiltua,63.828,27.8391,5.776
