name,latitude,longitude,ndvi,discharge,ndwi,precipitation,slope_degrees,ndbi,mndwi,label
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.103552,2.694659,0.5165693163871765,0.364,0.40322268,3.023224043715848,1.2567557096481323,,,1
Alt?nkaya Dam,41.3668,35.7244,0.1793292909860611,242.966,,2.654918032786885,11.4601755,,,1
Alta krv,69.717916,23.795677,0.7455658316612244,79.656,,2.143715846994536,11.998614311218262,,,1
Altenmarkt,47.719444,14.672222,0.2987725734710693,102.158,-0.24367896,3.425956284153004,10.282480239868164,,,1
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.0811712965369224,1880.037,0.2868445,1.992622950819672,2.819120407104492,,,1
Altheim,48.5837,12.2186,0.3756304979324341,160.078,,2.645628415300546,3.028337478637696,,,1
Alto lindoso Alto Lindoso - G1 - Alto Lindoso Hydroelectric Power Plant Portugal,41.872,-8.2025,0.2463902235031128,39.195,,7.028688524590158,10.301375,,,1
Alto rabagão Rabagao - Alto Rabagao Hydroelectric Power Plant Portugal,41.737703,-7.853632,0.4341368079185486,2.811,,4.652732240437159,4.9034204,,,1
Altusried M2,47.817052,10.227499,0.3857878446578979,32.989,,4.016393442622949,6.597603797912598,,,1
Alvadia,41.4564,-7.8103,0.8421962857246399,0.159,,4.784972677595625,12.956833,,,1
Alvito,38.2788,-7.9093,0.4128918051719665,1.314,,1.6765027322404369,3.4821324,,,1
Alzwerke,48.18324,12.85345,0.5289626717567444,165.643,,3.2691256830601074,6.370838165283203,,,1
Am löntsch,47.056638,9.049115,0.5318524837493896,3.836,,6.9210382513661175,4.8664346,,,1
Amsteg,46.76676,8.672923,0.6752674579620361,4.828,,5.454918032786887,20.89723,,,1
Anapo c.le UP_ANAPO_C.L_1 - Anapo Pumped Storage Power Plant Italy,37.115761,15.137157,0.2080556452274322,0.968,,1.025409836065574,6.516382217407227,,,1
Andakíl,64.5386,-21.695,0.452789694070816,8.356,,3.953825136612021,5.045880317687988,,,1
"Andonno c,",44.314628,7.482432,0.3025456666946411,3.76,,4.619945355191256,7.686151504516602,,,1
Andåsfossen,65.822425,13.259879,0.6719282865524292,3.882,,6.116120218579233,10.90086555480957,,,1
Anjalankoski,60.698333,26.816111,0.1264066845178604,225.707,-0.14796565,2.100546448087432,2.9335386753082275,,,1
Anjan,63.6833,12.6333,0.5917938351631165,6.984,,3.032513661202185,5.1341014,,,1
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,0.1787164360284805,158.756,-0.06588708,3.2650273224043733,7.133504867553711,,,1
Aragnouet,42.7845,0.1782,0.7541902661323547,0.347,-0.6840505,3.913114754098362,17.79787254333496,,,1
Arbon ARBON 1 - ArbonHydroelectric Power Plant Spain,43.477229,-6.730199,0.5026339292526245,0.114,,4.310655737704917,11.89515,,,1
Arbéost,42.9795,-0.2738,0.7230313420295715,0.37,-0.67204356,5.883333333333328,13.881699562072754,,,1
Arcambal,44.4548,1.5482,0.6259632110595703,1.312,-0.57514304,3.00464480874317,6.297688484191895,,,1
Arcesti,44.449583,24.312917,-0.0212136339396238,144.072,,1.2043715846994538,1.1950189,,,1
Ardenno,46.164292,9.644944,0.6169673204421997,75.232,,5.272950819672131,1.8544546365737915,,,1
Ardnacrucha production unit Ardnacrusha Unit 1 - Ardnacrusha Hydroelectric Power Plant Ireland,52.7056,-8.6128,0.4128575623035431,1.385,,3.443989071038253,2.602601289749145,,,1
Ardon,46.216721,7.256573,0.383764773607254,1.766,,3.5838797814207664,14.776222,,,1
Aregos,41.0939,-8.0278,0.6533417105674744,1.316,,4.290983606557376,12.656716,,,1
Argancy,49.190616,6.191018,0.3116530776023865,135.406,0.11443857,2.842622950819674,1.894060730934143,,,1
Argel,40.3786,44.6069,0.406726211309433,25.048,-0.4267315,2.3748633879781424,11.832664489746094,,,1
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,0.2801376581192016,114.106,-0.18966171,4.533060109289618,9.99038791656494,,,1
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.794722,6.559722,0.1191498935222625,13.208,-0.12961935,3.040437158469945,6.175527572631836,,,1
Argentine,45.4894,6.3328,0.7873274683952332,0.142,-0.69366425,5.386885245901637,28.80021858215332,,,1
Arlos,42.8865,0.7118,0.4599054157733917,10.928,-0.4194912,3.934153005464481,10.247854232788086,,,1
Arniberg,46.768994,8.665904,0.7755410075187683,21.253,,5.454918032786887,15.949234,,,1
Arnstein,47.0167,15.1667,0.7939701080322266,3.899,-0.71006006,3.0562841530054654,12.682353019714355,,,1
Arosa litzirüti,46.800049,9.705912,0.5802119374275208,1.861,,3.6240437158469954,13.465784,,,1
Arpasu,45.79375,24.595417,0.1407504975795745,73.887,,2.377049180327869,1.231644,,,1
Arreau,42.9143,0.3356,0.6970901489257812,0.122,-0.6471749,4.429781420765024,16.523975372314453,,,1
Arsie',45.983007,11.758295,0.2539282739162445,0.25,,5.775409836065574,7.644137382507324,,,1
Artemare,45.8699,5.6901,0.5218312740325928,0.145,-0.5009662,3.5737704918032773,3.149275064468384,,,1
Arto blanca HE Blanca 1 - Arto-Blanca Hydroelectric Power Plant Slovenia,45.99027,15.38183,0.095502108335495,0.187,,2.6650273224043737,8.498286,,,1
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,0.6802048087120056,1.106,-0.61851954,5.583060109289618,27.20465660095215,,,1
Arvan,45.254167,6.323333,0.5419790148735046,3.095,-0.4944006,4.588797814207651,11.877655982971191,,,1
Arvillard,45.4095,6.1709,0.6894509792327881,0.662,-0.6007412,5.3423497267759545,19.227224349975582,,,1
Arzni,40.2968,44.5875,0.4626486301422119,25.286,-0.46877342,2.065300546448088,6.002432346343994,,,1
Aschach,48.3853,14.023,0.0484183467924594,1412.409,0.25206622,2.7472677595628445,5.758068561553955,,,1
Ascoli porta romana,42.855278,13.565278,0.5110477805137634,8.519,,2.83169398907104,8.201793670654297,,,1
Asele,64.102,17.2891,0.4000404477119446,140.741,,2.025136612021859,4.5672765,,,1
Askerudfoss,60.20311,10.342111,0.3342581987380981,62.476,,2.749453551912568,7.80889368057251,,,1
Aslanta? Dam,37.270556,36.274444,0.2285201102495193,179.054,,4.487978142076504,8.979539,,,1
Asomata ASOMATA - Asomata Hydroelectric Power Plant Greece,40.4744,22.2439,0.135647565126419,53.356,,2.072950819672131,10.04778289794922,,,1
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,0.415141612291336,1.649,-0.40868664,4.16229508196721,9.40410327911377,,,1
Atatürk Dam,37.4825,38.3186,0.0215418934822082,700.875,,1.37431693989071,7.5533857,,,1
Atro,63.3725,27.988333,0.5102411508560181,20.343,-0.44346088,2.036885245901639,2.115046977996826,,,1
Atshesi (Atsi) Hydroelectric Power Plant Georgia,41.5841,41.8903,0.2929187715053558,46.435,,7.0401639344262295,17.374425888061523,,,1
Au schönenberg,47.523981,9.186791,0.4146229922771454,47.182,,3.7106557377049176,5.2165365,,,1
Aue dotierzentrale,47.469453,8.309635,0.5125012397766113,90.62,,3.365027322404371,6.4703407,,,1
Aufkirchen,48.306686,11.858847,0.6911110281944275,4.882,,3.0163934426229506,2.369004249572754,,,1
Augst,47.536762,7.709688,0.1660504937171936,1030.993,,3.636612021857923,1.9516819,,,1
Aunfoss,64.610022,12.578041,0.3744857311248779,108.53,,4.85928961748634,4.285824298858643,,,1
Aura,62.664258,8.514969,0.712913990020752,11.515,,6.514480874316941,17.613140106201172,,,1
Auribeau-sur-Siagne,43.6121,6.9118,0.7539700269699097,0.772,-0.71298254,3.3860655737704906,7.063179016113281,,,1
Aurland I,60.8525,7.300704,0.5247018337249756,0.499,,5.289071038251367,25.360397338867188,,,1
Aurland II H,60.805201,7.377305,0.5248937606811523,3.047,,5.711475409836066,16.675430297851562,,,1
Aurland II L,60.804331,7.378572,0.4668107330799103,0.204,,5.711475409836066,16.70041275024414,,,1
Aurland III,60.798131,7.571407,0.6822783946990967,4.832,,5.0437158469945365,14.919665336608888,,,1
Aurland IV (Vangen),60.901828,7.178971,0.6298388838768005,26.31,,5.021584699453552,13.170162200927734,,,1
Aurland V (Reppa),60.804002,7.35285,0.4110672771930694,3.047,,5.0437158469945365,20.87433815002441,,,1
Aushegerskaya HPP of the Cascade of Nizhne-Cherekskiye HPPs,43.3525,43.7175,0.662758469581604,28.696,,2.653551912568306,5.8203278,,,1
Auterive,43.3594,1.4775,0.5649987459182739,32.455,-0.553457,2.695628415300548,2.3515546321868896,,,1
Auzat,42.76298,1.47771,0.3260273337364197,1.574,-0.34408307,4.9046448087431695,7.347584247589111,,,1
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,0.4927323162555694,24.717,-0.4381186,3.941803278688522,16.526004791259766,,,1
Aventino,42.004033,14.156813,0.3800281882286072,1.315,,3.599999999999999,8.15522289276123,,,1
Avesta Storfors,60.15,16.1667,0.5404038429260254,331.298,,1.88497267759563,3.342615,,,1
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,-0.0076767038553953,1505.694,0.1972712,2.9838797814207654,2.5123820304870605,,,1
Avise UP_AVISE_1,45.700913,7.193059,0.3885837197303772,21.96,,4.624316939890708,9.71742343902588,,,1
Avrieux,45.1776,6.7466,0.5537950396537781,0.212,-0.5123048,3.611202185792349,15.989659309387209,,,1
Avrig,45.745417,24.39125,0.3431391716003418,79.916,,2.73032786885246,1.1486256,,,1
Avče CHE Avce - Avce Pumped Storage Hydroelectric Power Plant Slovenia,46.08412,13.66757,-0.3602296113967895,0.149,,6.513114754098358,7.145382,,,1
BACAU,46.541997,26.948323,0.3192600905895233,66.602,,1.583606557377049,1.7568485,,,1
BAICULESTI,45.058839,24.688304,0.3997174203395843,5.861,,1.698087431693991,1.8057843,,,1
BARAZAR 1,43.009998,-2.685,0.8122888803482056,0.637,,3.462295081967213,9.321612,,,1
BARCENA GR 1,42.577778,-6.560833,0.3681129515171051,16.625,,2.49207650273224,13.541861,,,1
BARRIOS DE LUNA 1 (MORA LUNA),42.851389,-5.864167,0.0728259235620498,8.996,,2.365027322404371,9.886176,,,1
BASCOV,44.89636,24.847892,0.2453618496656417,10.048,,1.5734972677595618,1.5841559,,,1
BELESAR 1,42.628502,-7.7122,0.3440918922424316,91.896,,3.3732240437158487,14.016853,,,1
BELESII,42.629002,-7.712,0.2794358730316162,91.896,,3.3732240437158487,14.3495,,,1
